id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<ALL>	weight<MPI>	weight<NIH>	weight<CNRS>	weight<NST>	weight<FH>	weight<AIST>	weight<RIKEN>
Complementary and Alternative Medicine	0.4374	-0.1605	2	32	5182	1274	34	125	109	942	5	26	33
Complementary and Manual Therapy	0.5713	-0.1277	2	6	98	24	1	4	0	18	0	0	1
Computational Mathematics	-0.4848	-0.0683	1	81	12870	1936	652	257	478	132	207	98	112
Computational Mechanics	-0.9034	-0.0512	1	57	3002	514	107	7	209	77	71	26	17
Computational Theory and Mathematics	-0.4371	-0.0817	1	91	23238	3139	906	405	795	305	372	159	197
Computer Graphics and Computer-Aided Design	-0.2584	-0.1739	1	66	9972	2061	332	119	401	386	605	164	54
Computer Networks and Communications	-0.4567	-0.048	1	116	38208	9760	729	86	1571	3504	3002	568	300
Computer Science	-0.5285	-0.0852	1	85	17780	8177	1324	315	1941	1562	1997	692	346
Computer Science (miscellaneous)	-0.3858	0.0688	1	59	1244	375	67	7	92	101	68	23	17
Computer Science Applications	-0.4224	-0.1007	1	184	104646	16740	2692	1095	3065	3498	4516	1078	796
Computer Vision and Pattern Recognition	-0.2143	-0.2249	1	72	20388	4131	571	223	805	657	1140	575	160
Computers in Earth Sciences	-0.6936	0.4105	1	38	1116	290	43	6	111	53	51	21	5
Condensed Matter Physics	-1.6308	-0.4319	4	92	210190	40771	11655	312	6453	9320	5448	4938	2645
Conservation	-0.2359	0.0417	1	27	420	65	8	1	35	0	20	1	0
Control and Optimization	-0.5706	0.0009	1	66	7776	1347	169	9	531	288	232	85	33
Control and Systems Engineering	-0.6512	0.0103	1	84	31932	8007	722	41	2188	2015	2112	713	216
Critical Care Nursing	0.5721	-0.0679	2	11	54	25	0	25	0	0	0	0	0
Critical Care and Intensive Care Medicine	0.7474	-0.077	2	20	1706	732	39	582	73	9	20	0	9
Cultural Studies	-0.0822	0.0754	1	61	3646	758	209	28	503	7	7	3	1
Decision Sciences	-0.1481	0.0949	1	23	1272	268	151	3	72	10	23	5	4
Decision Sciences (miscellaneous)	-0.2812	0.0676	1	25	496	83	11	2	32	16	22	0	0
Demography	0.0169	0.0773	1	22	758	349	247	29	67	0	2	0	4
Dentistry	0.7035	-0.1513	2	25	712	463	33	329	21	23	13	18	26
Dentistry (miscellaneous)	0.7146	-0.1706	2	12	178	33	3	8	1	6	13	0	2
Dermatology	0.8225	-0.0782	2	42	2972	875	68	551	124	44	42	7	39
Development	-0.1319	0.1139	1	49	1288	303	96	23	130	28	16	2	8
Developmental Biology	0.9603	-0.0127	2	46	18512	4460	1036	1593	882	144	84	119	602
Developmental Neuroscience	0.566	-0.0414	2	35	3516	736	137	351	150	17	12	10	59
