id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<ALL>	weight<MPI>	weight<NIH>	weight<CNRS>	weight<NST>	weight<FH>	weight<AIST>	weight<RIKEN>
Social Psychology	0.182	0.0385	1	61	3392	805	301	363	113	7	6	6	9
Social Sciences	-0.103	0.0828	1	61	4192	2341	1010	167	902	43	96	113	10
Social Sciences (miscellaneous)	-0.1317	0.0841	1	95	2132	515	167	80	193	25	39	8	3
Sociology and Political Science	-0.0685	0.0867	1	86	6052	1518	620	142	668	37	39	9	3
Software	-0.4484	-0.1413	1	88	40236	9148	1538	243	2305	1821	1977	774	490
Soil Science	-1.1224	0.9596	7	55	30334	1869	693	5	679	289	20	112	71
Space and Planetary Science	-1.7943	1.0272	7	50	70182	20284	13967	15	3839	1590	113	245	515
Spectroscopy	-0.8974	-0.5437	4	56	29108	4166	928	370	1035	934	156	472	271
Speech and Hearing	0.4676	-0.0777	2	33	1750	322	120	63	88	4	32	6	9
Statistical and Nonlinear Physics	-0.7286	-0.1417	1	41	9940	2345	1370	45	576	79	28	77	170
Statistics and Probability	-0.3739	-0.0517	1	78	22188	4024	1565	999	905	65	121	105	264
"Statistics, Probability and Uncertainty"	-0.2751	0.0002	1	52	4168	979	253	353	273	16	49	4	31
Strategy and Management	-0.2199	0.0852	1	78	4376	775	107	17	132	205	276	36	2
Stratigraphy	-0.9584	0.6528	1	14	1942	407	94	0	166	62	2	81	2
Structural Biology	1.1026	-0.7813	6	39	18050	3551	950	901	683	310	56	231	420
Surfaces and Interfaces	-1.9809	-0.8187	4	34	29682	4127	1004	23	704	899	723	603	171
"Surfaces, Coatings and Films"	-1.6618	-0.5812	4	46	74162	10843	1640	131	1909	3210	1895	1633	425
Surgery	0.7193	-0.1253	2	51	4264	1457	66	903	200	110	132	20	26
Theoretical Computer Science	-0.5438	-0.1152	1	49	16750	5803	1264	201	1663	557	1344	509	265
"Tourism, Leisure and Hospitality Management"	-0.2311	0.1063	1	18	88	19	1	1	9	1	7	0	0
Toxicology	0.4305	-0.0274	2	62	10260	3244	86	1633	271	663	436	134	21
Transplantation	0.9097	-0.0861	2	26	2952	784	11	643	49	38	22	7	14
Transportation	-0.4209	0.1238	1	50	3610	542	6	8	80	286	132	28	2
Urban Studies	-0.2369	0.1464	1	54	640	138	21	2	86	17	9	3	0
Urology	0.909	-0.0692	2	22	1308	855	27	719	56	31	16	1	5
Veterinary	1.1841	0.3093	3	23	4772	1091	118	618	134	103	26	14	78
Veterinary (miscellaneous)	1.3983	0.5131	3	12	342	51	3	26	22	0	0	0	0
Virology	1.5715	0.284	3	28	20204	4571	388	3001	812	163	43	31	133
Visual Arts and Performing Arts	-0.1211	0.0581	1	42	1092	268	47	2	177	2	32	5	3
Waste Management and Disposal	-0.7888	0.2341	5	58	13284	2070	86	54	366	1227	143	168	26
Water Science and Technology	-1.1312	0.7789	7	69	35380	2919	697	8	1040	887	94	153	40
